Name,Condition,Price,Location,Car_code,Year,Condition,Km,Origin,Style,Manufacture,Color,Seat,Window
Toyota Yaris 1.3G - 2014, Xe cũ,360 Triệu,Hà Nội,Mã: 5673505,2014.0,Xe đã dùng,"90,000 Km",Nhập khẩu,Hatchback,Xăng,Trắng,5 chỗ,5 cửa
Mercedes Benz S class S450 Luxury - 2021, Xe cũ,4 Tỷ 299 Triệu,Hà Nội,Mã: 5708009,2021.0,Xe đã dùng,"35,000 Km",Nhập khẩu,Sedan,Xăng,Đen,5 chỗ,4 cửa
Mazda CX5 Luxury 2.0 AT - 2023, Xe cũ,799 Triệu,Hà Nội,Mã: 5635380,2023.0,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,SUV,Xăng,Xanh,5 chỗ,5 cửa
Honda Civic 2.0 AT - 2008, Xe cũ,219 Triệu,Hà Nội,Mã: 5820891,2008.0,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Toyota Camry 2.0G - 2019, Xe cũ,790 Triệu,Hà Nội,Mã: 5796978,2019.0,Xe đã dùng,"50,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Toyota Fortuner 2.4L 4x2 AT - 2022, Xe cũ,988 Triệu,Hà Nội,Mã: 5820897,2022.0,Xe đã dùng,"55,000 Km",Lắp ráp trong nước,SUV,Dầu,Đen,7 chỗ,5 cửa
Toyota Fortuner 2.7V 4x2 AT - 2017, Xe cũ,719 Triệu,TP HCM,Mã: 5820906,2017.0,Xe đã dùng,"120,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Ford Ranger XLS 2.0L 4x4 AT - 2022, Xe cũ,705 Triệu,TP HCM,Mã: 5773835,2022.0,Xe đã dùng,"32,000 Km",Lắp ráp trong nước,Bán tải / Pickup,Dầu,Xám,5 chỗ,4 cửa
Hyundai SantaFe Premium 2.4L HTRAC - 2019, Xe cũ,830 Triệu,Hà Nội,Mã: 5697477,2019.0,Xe đã dùng,"46,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,7 chỗ,5 cửa
Kia Sorento Signature 2.2 AT AWD - 2021, Xe cũ,955 Triệu,Hà Nội,Mã: 5817340,2021.0,Xe đã dùng,"33,000 Km",Lắp ráp trong nước,SUV,Dầu,Xanh,7 chỗ,5 cửa
Ford EcoSport Titanium 1.5 AT - 2020, Xe cũ,480 Triệu,Hà Nội,Mã: 5743930,2020.0,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,SUV,Xăng,Đỏ,5 chỗ,5 cửa
Chevrolet Spark Van 1.0 AT - 2011, Xe cũ,105 Triệu,Hà Nội,Mã: 5797836,2011.0,Xe đã dùng,"120,000 Km",Nhập khẩu,Van/Minivan,Xăng,Trắng,2 chỗ,5 cửa
Ford Ranger Wildtrak 3.2L 4x4 AT - 2017, Xe cũ,565 Triệu,Hà Nội,Mã: 5548669,2017.0,Xe đã dùng,"90,000 Km",Nhập khẩu,Bán tải / Pickup,Dầu,Trắng,5 chỗ,4 cửa
Mercedes Benz GLC 300 4Matic - 2021, Xe cũ,1 Tỷ 799 Triệu,Hà Nội,Mã: 5824540,2021.0,Xe đã dùng,"43,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Toyota Fortuner 2.7V 4x2 AT - 2015, Xe cũ,460 Triệu,Hà Nội,Mã: 5529412,2015.0,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Xăng,Bạc,7 chỗ,5 cửa
Toyota Corolla Cross 1.8V - 2021, Xe cũ,760 Triệu,Hà Nội,Mã: 5615100,2021.0,Xe đã dùng,"17,000 Km",Nhập khẩu,SUV,Xăng,Trắng,5 chỗ,5 cửa
Mercedes Benz E class E300 AMG - 2021, Xe cũ,2 Tỷ 99 Triệu,Hà Nội,Mã: 5772811,2021.0,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
LandRover Range Rover Autobiography LWB 5.0 - 2014, Xe cũ,3 Tỷ 380 Triệu,TP HCM,Mã: 5556377,2014.0,Xe đã dùng,"58,108 Km",Nhập khẩu,SUV,Xăng,Trắng,4 chỗ,5 cửa
Mitsubishi Attrage Premium 1.2 CVT - 2021, Xe cũ,388 Triệu,TP HCM,Mã: 5820863,2021.0,Xe đã dùng,"24,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Toyota Vios E CVT - 2021, Xe cũ,435 Triệu,Hà Nội,Mã: 5623962,2021.0,Xe đã dùng,"48,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Mercedes Benz C class C300 AMG - 2018, Xe cũ,959 Triệu,Hà Nội,Mã: 5820836,2018.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Honda CRV L - 2020, Xe cũ,865 Triệu,Hà Nội,Mã: 5785452,2020.0,Xe đã dùng,"42,000 Km",Lắp ráp trong nước,SUV,Xăng,Xanh,7 chỗ,5 cửa
Mitsubishi Xpander Cross 1.5 AT - 2023, Xe cũ,679 Triệu,Hà Nội,Mã: 5764530,2023.0,Xe đã dùng,"19,000 Km",Nhập khẩu,SUV,Xăng,Cam,7 chỗ,5 cửa
Kia Morning EX - 2017, Xe cũ,169 Triệu,Hà Nội,Mã: 5760406,2017.0,Xe đã dùng,"150,000 Km",Lắp ráp trong nước,Hatchback,Xăng,Trắng,5 chỗ,5 cửa
Mercedes Benz E class E200 Sport - 2019, Xe cũ,1 Tỷ 385 Triệu,Hà Nội,Mã: 5806234,2019.0,Xe đã dùng,"57,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Toyota Corolla Cross 1.8V - 2020, Xe cũ,675 Triệu,TP HCM,Mã: 5819032,2020.0,Xe đã dùng,"64,000 Km",Nhập khẩu,SUV,Xăng,Đỏ,5 chỗ,5 cửa
Mercedes Benz C class C200 - 2019, Xe cũ,900 Triệu,Hà Nội,Mã: 5793203,2019.0,Xe đã dùng,"64,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đỏ,5 chỗ,4 cửa
Mercedes Benz GLC 300 4Matic - 2021, Xe cũ,1 Tỷ 850 Triệu,TP HCM,Mã: 5805968,2021.0,Xe đã dùng,"57,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Toyota Fortuner 2.4G 4x2 AT - 2021, Xe cũ,960 Triệu,TP HCM,Mã: 5782131,2021.0,Xe đã dùng,"32,900 Km",Lắp ráp trong nước,SUV,Dầu,Bạc,7 chỗ,5 cửa
Ford Everest Titanium 2.0L 4x2 AT - 2022, Xe cũ,1 Tỷ 35 Triệu,Hà Nội,Mã: 5688390,2022.0,Xe đã dùng,"40,000 Km",Nhập khẩu,SUV,Dầu,Đen,7 chỗ,5 cửa
LandRover Range Rover Autobiography 3.0 - 2014, Xe cũ,2 Tỷ 590 Triệu,Hà Nội,Mã: 5777223,2014.0,Xe đã dùng,"68,000 Km",Nhập khẩu,SUV,Xăng,Đen,5 chỗ,5 cửa
Mercedes Benz E class E250 - 2010, Xe cũ,320 Triệu,TP HCM,Mã: 5787331,2010.0,Xe đã dùng,"140,000 Km",Lắp ráp trong nước,Sedan,Xăng,Nâu,5 chỗ,4 cửa
Mercedes Benz G class G63 AMG - 2021, Xe cũ,9 Tỷ 379 Triệu,TP HCM,Mã: 5782310,2021.0,Xe đã dùng,"40,000 Km",Nhập khẩu,SUV,Xăng,Vàng,5 chỗ,5 cửa
Toyota Vios G 1.5 CVT - 2022, Xe cũ,505 Triệu,Hà Nội,Mã: 5664688,2022.0,Xe đã dùng,"36,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Kia Sedona 3.3L GATH - 2018, Xe cũ,685 Triệu,Hà Nội,Mã: 5800079,2018.0,Xe đã dùng,"100,000 Km",Lắp ráp trong nước,Van/Minivan,Xăng,Trắng,7 chỗ,5 cửa
Mercedes Benz GLB 200 AMG - 2022, Xe cũ,1 Tỷ 479 Triệu,TP HCM,Mã: 5720832,2022.0,Xe đã dùng,"28,800 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Toyota Vios E CVT - 2021, Xe cũ,445 Triệu,Hà Nội,Mã: 5594378,2021.0,Xe đã dùng,"48,000 Km",Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Mercedes Benz C class C200 - 2019, Xe cũ,860 Triệu,Hà Nội,Mã: 5732356,2019.0,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Mercedes Benz GLE Class GLE 450 4Matic - 2019, Xe cũ,2 Tỷ 850 Triệu,Hà Nội,Mã: 5696216,2019.0,Xe đã dùng,"60,000 Km",Nhập khẩu,SUV,Xăng,Đen,7 chỗ,5 cửa
Ford EcoSport Titanium 1.5L AT - 2017, Xe cũ,385 Triệu,Hà Nội,Mã: 5740239,2017.0,Xe đã dùng,"69,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Kia Cerato 2.0 AT Premium - 2020, Xe cũ,535 Triệu,Hà Nội,Mã: 5727940,2020.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Sedan,Xăng,Xanh,5 chỗ,4 cửa
VinFast Lux SA 2.0 2.0 AT - 2021, Xe cũ,745 Triệu,Hà Nội,Mã: 5674392,2021.0,Xe đã dùng,"49,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,7 chỗ,5 cửa
Toyota Zace DX - 2004, Xe cũ,109 Triệu,TP HCM,Mã: 5810433,2004.0,Xe đã dùng,"150,000 Km",Lắp ráp trong nước,SUV,Xăng,Xanh,8 chỗ,5 cửa
Toyota Alphard 3.5 V6 - 2015, Xe cũ,2 Tỷ 150 Triệu,Hà Nội,Mã: 5714233,2015.0,Xe đã dùng,0 Km,Nhập khẩu,Van/Minivan,Xăng,Đen,7 chỗ,5 cửa
Toyota Alphard Executive Lounge - 2018, Xe cũ,2 Tỷ 750 Triệu,Hà Nội,Mã: 5608100,2018.0,Xe đã dùng,0 Km,Nhập khẩu,Van/Minivan,Xăng,Đen,7 chỗ,5 cửa
Mercedes Benz C class C200 Exclusive - 2020, Xe cũ,1 Tỷ 99 Triệu,TP HCM,Mã: 5777164,2020.0,Xe đã dùng,"58,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Mercedes Benz GLC 250 4Matic - 2017, Xe cũ,950 Triệu,Hà Nội,Mã: 5765592,2017.0,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,5 chỗ,5 cửa
Mercedes Benz GLC 200 - 2019, Xe cũ,1 Tỷ 90 Triệu,TP HCM,Mã: 5738489,2019.0,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,SUV,Xăng,Đen,5 chỗ,5 cửa
Toyota Fortuner 2.7V 4x4 AT - 2019, Xe cũ,885 Triệu,Hà Nội,Mã: 5636326,2019.0,Xe đã dùng,0 Km,Nhập khẩu,SUV,Xăng,Nâu,7 chỗ,5 cửa
Rolls Royce Cullinan 6.75 V12 - 2022, Xe cũ,22 Tỷ 500 Triệu,Hà Nội,Mã: 5238264,2022.0,Xe đã dùng,"1,000 Km",Nhập khẩu,SUV,Xăng,Trắng,4 chỗ,5 cửa
Toyota Innova G - 2009, Xe cũ,195 Triệu,Hà Nội,Mã: 5776610,2009.0,Xe đã dùng,"210,000 Km",Lắp ráp trong nước,Crossover,Xăng,Bạc,8 chỗ,5 cửa
Toyota Vios 1.5E CVT - 2020, Xe cũ,430 Triệu,Hà Nội,Mã: 5620499,2020.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng,Đen,5 chỗ,4 cửa
Ford Ranger Wildtrak 2.2L 4x4 AT - 2015, Xe cũ,460 Triệu,TP HCM,Mã: 5793334,2015.0,Xe đã dùng,"134,600 Km",Nhập khẩu,Bán tải / Pickup,Dầu,Trắng,5 chỗ,4 cửa
Lexus RX 350 F-Sport - 2016, Xe cũ,2 Tỷ 390 Triệu,Hà Nội,Mã: 5776274,2016.0,Xe đã dùng,"89,000 Km",Nhập khẩu,SUV,Xăng,Đen,5 chỗ,5 cửa
Hyundai HD 78 - 2015, Xe cũ,400 Triệu,Hà Nội,Mã: 5549992,2015.0,Xe đã dùng,0 Km,Nhập khẩu,Truck,Dầu,Xanh,3 chỗ,2 cửa
Mercedes Benz GLE Class GLE 450 4Matic - 2022, Xe cũ,4 Tỷ 300 Triệu,TP HCM,Mã: 5686777,2022.0,Xe đã dùng,30 Km,Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
BMW 3 Series 320i - 2014, Xe cũ,460 Triệu,Hà Nội,Mã: 5788635,2014.0,Xe đã dùng,"120,000 Km",Nhập khẩu,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Mercedes Benz S class S450L - 2018, Xe cũ,2 Tỷ 80 Triệu,Hà Nội,Mã: 5626890,2018.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
VinFast Lux A 2.0 Tiêu chuẩn - 2022, Xe cũ,699 Triệu,Hà Nội,Mã: 5769328,2022.0,Xe đã dùng,"4,000 Km",Lắp ráp trong nước,Sedan,Xăng,Trắng,5 chỗ,4 cửa
Ford Fiesta S 1.5 AT - 2018, Xe cũ,360 Triệu,TP HCM,Mã: 5815638,2018.0,Xe đã dùng,"57,000 Km",Lắp ráp trong nước,Hatchback,Xăng,Trắng,5 chỗ,5 cửa
VinFast VF6 Plus - 2023, Xe cũ,770 Triệu,Hà Nội,Mã: 5639760,2023.0,Xe đã dùng,"3,000 Km",Lắp ráp trong nước,SUV,Điện,Xám,5 chỗ,5 cửa
Toyota Land Cruiser VX 4.6 V8 - 2019, Xe cũ,3 Tỷ 880 Triệu,Hà Nội,Mã: 5516811,2019.0,Xe đã dùng,"130,000 Km",Nhập khẩu,SUV,Xăng,Đen,8 chỗ,5 cửa
Chevrolet Vivant CDX AT - 2008, Xe cũ,135 Triệu,Hà Nội,Mã: 5725633,2008.0,Xe đã dùng,0 Km,Lắp ráp trong nước,Crossover,Xăng,Bạc,7 chỗ,5 cửa
Mercedes Benz GLE Class GLE 450 4Matic - 2021, Xe cũ,3 Tỷ 269 Triệu,TP HCM,Mã: 5793271,2021.0,Xe đã dùng,"55,000 Km",Nhập khẩu,SUV,Xăng,Trắng,7 chỗ,5 cửa
Mercedes Benz GLC 200 - 2022, Xe cũ,1 Tỷ 539 Triệu,Hà Nội,Mã: 5716411,2022.0,Xe đã dùng,"16,000 Km",Lắp ráp trong nước,SUV,Xăng,Xám,5 chỗ,5 cửa
Honda CRV G - 2020, Xe cũ,785 Triệu,Hà Nội,Mã: 5777669,2020.0,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,SUV,Xăng,Trắng,7 chỗ,5 cửa
